B2X0	('Income', 'Tax', 'Cash', 'Products', 'Data', 'Accelerated Computing', 'Data Center', 'Non-GAAP')
B416X0	('Cash',)
B417X0	('Cash', 'Stock')
B418X0	('Cash',)
B419X0	('Cash',)
B420X0	('Cash',)
B421X0	('Cash',)
B422X0	('Cash',)
B423X0	('Cash',)
B424X0	('Cash', 'Non-GAAP')
B426X0	('Revenue',)
B428X0	('Revenue',)
B430X0	('Revenue',)
B432X0	('Revenue',)
B435X0	('Data', 'Data Center')
B436X0	('Revenue',)
B437X0	('Data', 'Data Center')
B438X0	('Data', 'Data Center')
B439X0	('Data', 'Data Center')
B440X0	('Data', 'Data Center')
B441X0	('Data', 'Data Center')
B442X0	('Data', 'Data Center')
B443X0	('Data', 'Data Center')
B444X0	('Data', 'Data Center', 'Revenue')
B445X0	('Data', 'Data Center')
B446X0	('Data', 'Data Center')
B447X0	('Data', 'Data Center')
B448X0	('Data', 'Data Center')
B449X0	('Data', 'Data Center')
B450X0	('Data', 'Data Center', 'Accelerated Computing')
B451X0	('Data', 'Data Center')
B452X0	('Data', 'Data Center')
B453X0	('Data', 'Data Center')
B454X0	('Data', 'Data Center')
B455X0	('Data', 'Data Center')
B456X0	('Data', 'Data Center')
B457X0	('Data', 'Data Center')
B458X0	('Data', 'Data Center')
B459X0	('Data', 'Data Center')
B460X0	('Data', 'Data Center')
B461X0	('Data', 'Data Center')
B462X0	('Data', 'Data Center')
B463X0	('Data', 'Data Center')
B464X0	('Data', 'Data Center')
B465X0	('Data', 'Data Center')
B466X0	('Data', 'Data Center')
B467X0	('Data', 'Data Center')
B468X0	('Data', 'Data Center')
B469X0	('Data', 'Data Center')
B470X0	('Data', 'Data Center')
B471X0	('Data', 'Data Center')
B472X0	('Data', 'Data Center')
B473X0	('Data', 'Data Center')
B474X0	('Data', 'Data Center')
B482X0	('Revenue',)
B502X0	('Revenue',)
B519X0	('Revenue',)
B526X0	('Revenue',)
B529X0	('Revenue',)
B537X0	('Cash',)
B538X0	('Cash', 'Income', 'Non-GAAP')
B539X0	('Cash',)
B540X0	('Cash',)
B541X0	('Cash',)
B542X0	('Cash',)
B543X0	('Cash',)
B544X0	('Cash',)
B545X0	('Cash',)
B546X0	('Cash',)
B547X0	('Cash', 'Securities', 'Non-GAAP')
B549X0	('Management',)
B550X0	('Data', 'Data Center')
B553X0	('Management',)
B556X0	('Directors',)
B558X0	('Non-GAAP',)
B559X0	('Non-GAAP',)
B560X0	('Non-GAAP', 'Stock', 'Tax')
B561X0	('Non-GAAP',)
B562X0	('Non-GAAP',)
B563X0	('Non-GAAP',)
B564X0	('Non-GAAP',)
B565X0	('Non-GAAP',)
B566X0	('Non-GAAP', 'Income')
B567X0	('Non-GAAP',)
B568X0	('Non-GAAP',)
B569X0	('Non-GAAP',)
B570X0	('Non-GAAP',)
B571X0	('Non-GAAP',)
B572X0	('Non-GAAP', 'Income')
B573X0	('Non-GAAP',)
B574X0	('Non-GAAP',)
B575X0	('Non-GAAP',)
B576X0	('Non-GAAP',)
B577X0	('Non-GAAP',)
B578X0	('Non-GAAP',)
B579X0	('Non-GAAP',)
B580X0	('Non-GAAP',)
B581X0	('Non-GAAP',)
B582X0	('Non-GAAP',)
B583X0	('Non-GAAP',)
B584X0	('Non-GAAP', 'Stock', 'Assests')
B585X0	('Non-GAAP',)
B586X0	('Non-GAAP', 'Stock')
B587X0	('Non-GAAP',)
B588X0	('Non-GAAP',)
B589X0	('Non-GAAP',)
B590X0	('Non-GAAP',)
B591X0	('Non-GAAP',)
B592X0	('Non-GAAP',)
B593X0	('Non-GAAP',)
B594X0	('Non-GAAP',)
B595X0	('Non-GAAP',)
B596X0	('Non-GAAP',)
B597X0	('Non-GAAP',)
B598X0	('Non-GAAP',)
B599X0	('Non-GAAP',)
B600X0	('Non-GAAP',)
B601X0	('Non-GAAP',)
B602X0	('Non-GAAP',)
B603X0	('Non-GAAP', 'Stock', 'Assests')
B604X0	('Non-GAAP',)
B605X0	('Non-GAAP',)
B606X0	('Non-GAAP',)
B607X0	('Non-GAAP', 'Stock')
B608X0	('Non-GAAP',)
B609X0	('Non-GAAP',)
B610X0	('Non-GAAP',)
B611X0	('Non-GAAP',)
B612X0	('Non-GAAP',)
B613X0	('Non-GAAP',)
B614X0	('Non-GAAP',)
B615X0	('Non-GAAP',)
B616X0	('Non-GAAP',)
B617X0	('Non-GAAP',)
B618X0	('Non-GAAP',)
B619X0	('Non-GAAP',)
B620X0	('Non-GAAP',)
B621X0	('Non-GAAP',)
B622X0	('Non-GAAP',)
B623X0	('Non-GAAP',)
B624X0	('Non-GAAP',)
B625X0	('Non-GAAP',)
B626X0	('Non-GAAP',)
B627X0	('Non-GAAP',)
B628X0	('Non-GAAP',)
B629X0	('Non-GAAP',)
B630X0	('Non-GAAP',)
B631X0	('Non-GAAP',)
B632X0	('Non-GAAP',)
B633X0	('Non-GAAP',)
B634X0	('Non-GAAP',)
B635X0	('Non-GAAP',)
B636X0	('Non-GAAP',)
B637X0	('Non-GAAP',)
B638X0	('Non-GAAP',)
B639X0	('Non-GAAP',)
B640X0	('Non-GAAP',)
B641X0	('Non-GAAP',)
B642X0	('Non-GAAP',)
B643X0	('Non-GAAP',)
B644X0	('Non-GAAP',)
B645X0	('Non-GAAP',)
B646X0	('Non-GAAP', 'Stock', 'Assests')
B647X0	('Non-GAAP',)
B648X0	('Non-GAAP', 'Income')
B649X0	('Non-GAAP',)
B650X0	('Non-GAAP', 'Stock')
B651X0	('Non-GAAP',)
B652X0	('Non-GAAP',)
B653X0	('Non-GAAP',)
B654X0	('Non-GAAP',)
B655X0	('Non-GAAP',)
B656X0	('Non-GAAP',)
B657X0	('Non-GAAP',)
B658X0	('Non-GAAP',)
B659X0	('Non-GAAP',)
B660X0	('Non-GAAP',)
B661X0	('Non-GAAP',)
B662X0	('Non-GAAP',)
B663X0	('Non-GAAP',)
B664X0	('Non-GAAP',)
B665X0	('Non-GAAP',)
B666X0	('Non-GAAP',)
B667X0	('Non-GAAP',)
B668X0	('Non-GAAP',)
B669X0	('Non-GAAP',)
B670X0	('Non-GAAP',)
B671X0	('Non-GAAP',)
B672X0	('Non-GAAP',)
B673X0	('Non-GAAP',)
B674X0	('Non-GAAP',)
B675X0	('Non-GAAP',)
B676X0	('Non-GAAP',)
B677X0	('Non-GAAP',)
B678X0	('Non-GAAP',)
B679X0	('Non-GAAP',)
B680X0	('Non-GAAP',)
B681X0	('Non-GAAP',)
B682X0	('Non-GAAP',)
B683X0	('Non-GAAP',)
B684X0	('Non-GAAP',)
B685X0	('Non-GAAP',)
B686X0	('Non-GAAP',)
B687X0	('Non-GAAP',)
B688X0	('Non-GAAP', 'Stock', 'Assests')
B689X0	('Non-GAAP',)
B690X0	('Non-GAAP', 'Cash', 'Assests')
B691X0	('Non-GAAP',)
B692X0	('Non-GAAP',)
B693X0	('Non-GAAP',)
B694X0	('Non-GAAP',)
B695X0	('Non-GAAP',)
B696X0	('Non-GAAP',)
B697X0	('Non-GAAP',)
B698X0	('Non-GAAP',)
B699X0	('Non-GAAP',)
B700X0	('Non-GAAP',)
