B2X0	('Income', 'Tax', 'Cash', 'Products', 'Data', 'Accelerated Computing', 'Data Center', 'Non-GAAP')
B1985X1	('Stock', 'Common Stock')
B1987X1	('Stock', 'Equity')
B1989X1	('Stock', 'Common Stock')
B1991X1	('Stock', 'Common Stock')
B1993X1	('Stock', 'Directors', 'Equity', 'Common Stock')
B1996X1	('Equity',)
B1997X1	('Stock',)
B1998X1	('Stock', 'Directors', 'Equity', 'Common Stock')
B2000X1	('Stock', 'Equity', 'Common Stock')
B2002X1	('Stock',)
B2004X1	('Stock',)
B2014X1	('Equity',)
B2016X1	('Stock', 'Common Stock')
B2018X1	('Stock', 'Common Stock')
B2024X1	('Stock', 'Year 2022', 'Common Stock')
B2028X1	('Stock',)
B2032X1	('Stock', 'Common Stock')
B2037X1	('Year 2022',)
B2047X1	('Stock', 'Common Stock')
B2053X1	('Stock', 'Directors', 'Common Stock')
B2055X1	('Stock', 'Tax', 'Cash', 'Directors', 'Common Stock', 'Restricted Stock')
B2057X1	('Tax',)
B2059X1	('Stock', 'Cash', 'Common Stock', 'Securities')
B2060X1	('Stock', 'Common Stock')
B2062X1	('Stock', 'Cash', 'Common Stock', 'Restricted Stock')
B2065X1	('Income', 'Tax')
B2066X1	('Stock',)
B2067X1	('Stock', 'Equity')
B2068X1	('Assests',)
B2069X1	('Stock',)
B2071X1	('Income',)
B2072X1	('Cash',)
B2073X1	('Cash',)
B2074X1	('Cash',)
B2075X1	('Revenue',)
B2076X1	('Revenue',)
B2086X1	('Stock', 'Equity')
B2090X1	('Income',)
B2096X1	('Stock',)
B2099X1	('Assests',)
B2100X1	('Tax',)
B2103X1	('Tax',)
B2104X1	('Tax',)
B2107X1	('Stock', 'Cash', 'Common Stock')
B2109X1	('Assests',)
B2113X1	('Stock', 'Cash', 'Common Stock', 'Securities')
B2115X1	('Stock', 'Common Stock', 'Securities', 'Assests')
B2117X1	('Stock', 'Income', 'Tax', 'Revenue')
B2119X1	('Stock', 'Income', 'Tax', 'Revenue', 'Restricted Stock')
B2120X1	('Stock', 'Income')
B2121X1	('Stock', 'Income', 'Tax', 'Revenue', 'Common Stock', 'Restricted Stock')
B2123X1	('Stock', 'Income', 'Tax', 'Cash', 'Revenue', 'Common Stock', 'Restricted Stock')
B2124X1	('Tax',)
B2127X1	('Stock', 'Directors')
B2139X1	('Directors',)
B2146X1	('Stock',)
B2148X1	('Stock', 'Directors', 'Common Stock')
B2151X1	('Stock', 'Common Stock')
B2153X1	('Stock',)
B2165X1	('Directors',)
B2197X1	('Equity',)
B2198X1	('Stock', 'Equity')
B2199X1	('Equity', 'Securities')
B2209X1	('Equity',)
B2220X1	('Stock', 'Common Stock')
B2222X1	('Stock',)
B2224X1	('Revenue',)
B2227X1	('Year 2022',)
B2228X1	('Directors',)
B2229X1	('Year 2022', 'Directors')
B2232X1	('Stock', 'Year 2022', 'Directors', 'Equity', 'Common Stock', 'Securities')
B2238X1	('Directors',)
B2240X1	('Stock', 'Directors', 'Common Stock')
B2245X1	('Equity',)
B2246X1	('Stock', 'Directors')
B2248X1	('Equity',)
B2250X1	('Stock', 'Tax', 'Cash', 'Directors', 'Equity', 'Common Stock', 'Restricted Stock')
B2253X1	('Stock', 'Cash', 'Common Stock')
B2254X1	('Stock', 'Income', 'Cash', 'Directors', 'Common Stock')
B2256X1	('Stock', 'Common Stock')
B2260X1	('Stock',)
B2261X1	('Stock',)
B2262X1	('Stock',)
B2263X1	('Stock',)
B2264X1	('Stock', 'Common Stock')
B2266X1	('Stock', 'Tax', 'Cash', 'Common Stock')
B2269X1	('Stock',)
B2271X1	('Stock', 'Cash', 'Common Stock')
B2273X1	('Stock',)
B2274X1	('Stock', 'Directors')
B2275X1	('Stock', 'Directors', 'Securities')
B2277X1	('Stock', 'Cash', 'Common Stock')
B2278X1	('Stock', 'Tax', 'Cash', 'Common Stock', 'Securities')
B2279X1	('Stock', 'Income', 'Common Stock', 'Securities')
B2281X1	('Stock', 'Cash', 'Common Stock', 'Restricted Stock')
B2282X1	('Stock', 'Cash', 'Common Stock')
B2284X1	('Stock', 'Cash', 'Common Stock')
B2286X1	('Stock', 'Common Stock', 'Securities')
B2287X1	('Stock', 'Tax', 'Cash', 'Common Stock', 'Securities')
B2289X1	('Stock', 'Cash', 'Common Stock')
B2290X1	('Stock', 'Income', 'Tax', 'Cash', 'Common Stock', 'Securities')
B2292X1	('Stock', 'Common Stock')
B2294X1	('Securities',)
B2295X1	('Stock', 'Cash', 'Common Stock', 'Securities')
B2297X1	('Stock', 'Common Stock', 'Securities')
B2298X1	('Stock', 'Common Stock')
B2300X1	('Stock',)
B2307X1	('Stock', 'Cash', 'Directors', 'Equity', 'Common Stock', 'Securities')
B2308X1	('Stock', 'Equity', 'Securities', 'Assests')
B2310X1	('Stock', 'Revenue', 'Directors', 'Common Stock')
B2311X1	('Stock', 'Cash', 'Directors', 'Common Stock', 'Securities', 'Assests')
B2312X1	('Stock', 'Securities')
B2314X1	('Stock', 'Tax', 'Common Stock', 'Securities')
B2315X1	('Stock', 'Cash', 'Securities')
B2317X1	('Stock', 'Income', 'Tax', 'Cash', 'Revenue', 'Equity', 'Common Stock', 'Assests')
B2318X1	('Stock', 'Cash', 'Directors', 'Equity', 'Common Stock', 'Securities', 'Assests', 'Restricted Stock')
B2319X1	('Stock',)
B2320X1	('Securities',)
B2323X1	('Securities',)
B2332X1	('Securities',)
B2333X1	('Stock', 'Common Stock')
B2334X1	('Data', 'Securities')
B2344X1	('Stock', 'Directors', 'Management', 'Common Stock', 'Securities')
B2359X1	('Stock', 'Equity', 'Securities')
B2363X1	('Management',)
B2367X1	('Data', 'Financial Statements')
B2377X1	('Directors',)
B2381X1	('Stock', 'Management')
B2394X1	('Products',)
B2396X1	('Management', 'Securities')
B2399X1	('Products', 'Data', 'Accelerated Computing')
B2401X1	('Products',)
B2403X1	('Products', 'Data', 'Data Center')
B2405X1	('Products', 'Data', 'Management', 'Accelerated Computing', 'Data Center')
B2407X1	('Products', 'Data', 'Accelerated Computing', 'Data Center')
B2409X1	('Products', 'Accelerated Computing')
B2411X1	('Products', 'Revenue', 'Data', 'Data Center')
B2413X1	('Products',)
B2416X1	('Accelerated Computing',)
B2417X1	('Accelerated Computing',)
B2418X1	('Products',)
B2419X1	('Products',)
B2420X1	('Products',)
B2423X1	('Tax', 'Cash', 'Data')
B2424X1	('Products', 'Directors', 'Data', 'Management', 'Securities', 'Assests', 'Data Center')
B2426X1	('Stock', 'Equity', 'Management')
B2435X1	('Products', 'Directors', 'Data', 'Management')
B2436X1	('Securities',)
B2438X1	('Stock', 'Products', 'Revenue', 'Data', 'Common Stock', 'Accelerated Computing', 'Data Center')
B2439X1	('Products',)
B2440X1	('Products',)
B2445X1	('Products', 'Revenue')
B2446X1	('Products', 'Revenue', 'Data')
B2451X1	('Products',)
B2452X1	('Products',)
B2453X1	('Products',)
B2454X1	('Products', 'Revenue')
B2456X1	('Products',)
B2457X1	('Products',)
B2462X1	('Products', 'Revenue', 'Management')
B2468X1	('Products',)
B2470X1	('Products',)
B2476X1	('Tax', 'Products', 'Data', 'Data Center')
B2477X1	('Products',)
B2478X1	('Products',)
B2479X1	('Management',)
B2480X1	('Assests',)
B2485X1	('Stock',)
B2488X1	('Equity', 'Securities')
B2491X1	('Assests',)
B2492X1	('Stock', 'Products', 'Revenue', 'Data', 'Assests')
B2493X1	('Stock', 'Cash', 'Products', 'Revenue', 'Data', 'Assests', 'Data Center')
B2495X1	('Stock', 'Products', 'Management', 'Common Stock', 'Securities', 'Financial Statements')
B2496X1	('Products', 'Revenue')
B2500X1	('Stock', 'Tax', 'Cash', 'Products', 'Data')
B2501X1	('Tax', 'Products', 'Management')
B2503X1	('Products', 'Revenue', 'Data')
B2505X1	('Stock', 'Income', 'Tax', 'Cash', 'Products', 'Revenue', 'Data', 'Securities', 'Assests')
B2507X1	('Stock', 'Cash', 'Directors', 'Securities', 'Assests')
B2510X1	('Stock', 'Common Stock')
B2511X1	('Stock', 'Directors')
B2515X1	('Data', 'Assests', 'Financial Statements', 'Data Center')
B2517X1	('Financial Statements',)
B2521X1	('Stock', 'Equity', 'Securities')
B2522X1	('Stock', 'Tax', 'Cash', 'Directors', 'Equity', 'Common Stock', 'Securities', 'Financial Statements', 'Restricted Stock')
B2524X1	('Stock', 'Common Stock')
B2528X1	('Stock', 'Data')
B2538X1	('Management',)
B2539X1	('Stock', 'Data', 'Common Stock', 'Financial Statements', 'Accelerated Computing')
B2541X1	('Products', 'Revenue')
B2543X1	('Cash', 'Products', 'Revenue', 'Data', 'Securities', 'Data Center')
B2547X1	('Revenue', 'Data')
B2551X1	('Income',)
B2553X1	('Income',)
B2555X1	('Income',)
B2557X1	('Products', 'Revenue', 'Data', 'Data Center')
B2561X1	('Stock', 'Income', 'Products', 'Revenue', 'Data', 'Data Center')
B2563X1	('Cash', 'Securities')
B2565X1	('Data', 'Data Center')
B2567X1	('Tax',)
B2569X1	('Income', 'Tax', 'Products', 'Revenue', 'Directors', 'Management', 'Assests', 'Financial Statements')
B2571X1	('Tax', 'Products', 'Revenue', 'Financial Statements')
B2573X1	('Stock', 'Income', 'Tax', 'Management', 'Assests', 'Financial Statements')
B2575X1	('Financial Statements',)
B2577X1	('Assests', 'Financial Statements')
B2582X1	('Income', 'Revenue')
B2586X1	('Income', 'Tax', 'Revenue')
B2588X1	('Revenue',)
B2602X1	('Products', 'Revenue')
B2604X1	('Stock', 'Products', 'Revenue')
B2616X1	('Revenue',)
B2622X1	('Revenue',)
B2624X1	('Stock', 'Income', 'Cash', 'Securities')
B2625X1	('Income',)
B2626X1	('Stock', 'Income', 'Tax', 'Financial Statements')
B2628X1	('Financial Statements',)
B2634X1	('Cash',)
B2636X1	('Securities',)
B2638X1	('Cash', 'Securities')
B2644X1	('Cash',)
B2646X1	('Cash',)
B2648X1	('Cash',)
B2650X1	('Stock', 'Income', 'Tax', 'Cash', 'Revenue', 'Securities', 'Restricted Stock')
B2652X1	('Stock', 'Tax', 'Cash', 'Common Stock', 'Financial Statements')
B2661X1	('Income', 'Tax', 'Revenue', 'Financial Statements')
B2662X1	('Financial Statements',)
B2664X1	('Income', 'Tax', 'Cash', 'Products', 'Assests', 'Financial Statements')
B2665X1	('Income',)
B2666X1	('Assests',)
B2668X1	('Financial Statements',)
B2670X1	('Data', 'Financial Statements')
B2671X1	('Financial Statements',)
B2675X1	('Management', 'Securities')
B2684X1	('Directors',)
B2685X1	('Directors',)
B2687X1	('Directors',)
B2690X1	('Stock', 'Management')
B2691X1	('Management', 'Securities')
B2693X1	('Equity',)
B2697X1	('Directors',)
B2704X1	('Financial Statements',)
B2708X1	('Income',)
B2710X1	('Income',)
B2714X1	('Equity',)
B2716X1	('Cash',)
B2718X1	('Financial Statements',)
B2724X1	('Income', 'Cash', 'Directors', 'Equity', 'Financial Statements')
B2725X1	('Financial Statements',)
B2726X1	('Cash', 'Management', 'Financial Statements')
B2727X1	('Financial Statements',)
B2728X1	('Directors', 'Management', 'Securities', 'Assests', 'Financial Statements')
B2730X1	('Products', 'Data', 'Management', 'Financial Statements')
B2732X1	('Income', 'Data')
B2738X1	('Revenue',)
B2740X1	('Revenue',)
B2750X1	('Income',)
B2752X1	('Income',)
B2756X1	('Income',)
B2758X1	('Income', 'Tax')
B2760X1	('Income', 'Tax')
B2762X1	('Income',)
B2764X1	('Income',)
B2772X1	('Financial Statements',)
B2774X1	('Income',)
B2780X1	('Income',)
B2782X1	('Income', 'Tax', 'Securities')
B2784X1	('Income',)
B2786X1	('Cash',)
B2788X1	('Income',)
B2792X1	('Income', 'Tax')
B2794X1	('Income',)
B2796X1	('Financial Statements',)
B2802X1	('Cash', 'Assests')
B2804X1	('Securities',)
B2810X1	('Assests',)
B2812X1	('Assests',)
B2816X1	('Assests',)
B2820X1	('Assests',)
B2822X1	('Income', 'Tax', 'Assests')
B2824X1	('Assests',)
B2826X1	('Assests',)
B2828X1	('Equity',)
B2844X1	('Stock', 'Equity', 'Common Stock')
B2848X1	('Stock', 'Income')
B2852X1	('Equity',)
B2854X1	('Equity',)
B2856X1	('Financial Statements',)
B2858X1	('Equity',)
B2859X1	('Stock', 'Income', 'Data', 'Equity')
B2863X1	('Income',)
B2867X1	('Income',)
B2871X1	('Stock', 'Common Stock')
B2877X1	('Stock', 'Tax', 'Cash', 'Restricted Stock')
B2893X1	('Income',)
B2897X1	('Income',)
B2901X1	('Stock', 'Common Stock')
B2907X1	('Stock', 'Tax', 'Cash', 'Equity', 'Restricted Stock')
B2911X1	('Stock',)
B2927X1	('Income',)
B2931X1	('Stock', 'Common Stock')
B2937X1	('Stock', 'Tax', 'Cash', 'Equity', 'Restricted Stock')
B2941X1	('Stock',)
B2945X1	('Stock',)
B2953X1	('Financial Statements',)
B2955X1	('Cash',)
B2962X1	('Income', 'Cash')
B2964X1	('Stock', 'Income', 'Cash')
B2976X1	('Income', 'Tax')
B2984X1	('Assests',)
B2986X1	('Assests',)
B3006X1	('Cash',)
B3012X1	('Cash', 'Securities')
B3018X1	('Securities',)
B3024X1	('Cash', 'Securities', 'Assests')
B3026X1	('Cash',)
B3030X1	('Stock',)
B3036X1	('Stock', 'Tax', 'Cash', 'Restricted Stock')
B3040X1	('Cash',)
B3044X1	('Cash',)
B3050X1	('Cash',)
B3052X1	('Income', 'Tax', 'Cash')
B3054X1	('Cash',)
B3056X1	('Financial Statements',)
B3059X1	('Stock', 'Income', 'Tax', 'Cash', 'Products', 'Revenue', 'Equity', 'Management', 'Common Stock', 'Securities', 'Assests', 'Financial Statements')
B3061X1	('Stock', 'Tax', 'Products', 'Revenue', 'Common Stock', 'Financial Statements', 'Restricted Stock')
B3063X1	('Stock', 'Income', 'Tax', 'Cash', 'Revenue', 'Equity', 'Management', 'Securities', 'Assests', 'Financial Statements')
B3065X1	('Income', 'Tax', 'Cash', 'Products', 'Equity', 'Securities', 'Assests', 'Financial Statements')
B3067X1	('Income', 'Cash', 'Management', 'Assests', 'Financial Statements')
B3069X1	('Income', 'Cash', 'Revenue', 'Data', 'Equity', 'Assests')
B3074X1	('Products',)
B3075X1	('Data', 'Financial Statements', 'Data Center')
B3077X1	('Cash',)
B3079X1	('Cash', 'Equity')
B3081X1	('Cash',)
B3083X1	('Equity',)
B3087X1	('Cash',)
B3089X1	('Securities',)
B3095X1	('Assests',)
B3101X1	('Assests',)
B3103X1	('Income', 'Tax')
B3105X1	('Stock', 'Cash', 'Directors')
B3106X1	('Income', 'Tax', 'Revenue', 'Assests', 'Financial Statements')
B3108X1	('Financial Statements',)
B3110X1	('Assests',)
B3118X1	('Assests',)
B3122X1	('Assests',)
B3124X1	('Income',)
B3125X1	('Revenue', 'Assests')
B3127X1	('Revenue',)
B3129X1	('Income',)
B3131X1	('Stock', 'Assests', 'Financial Statements')
B3134X1	('Data', 'Data Center')
B3156X1	('Cash',)
B3158X1	('Assests',)
B3160X1	('Assests',)
B3162X1	('Stock',)
B3163X1	('Stock', 'Financial Statements', 'Restricted Stock')
B3165X1	('Stock', 'Income')
B3171X1	('Revenue',)
B3179X1	('Stock', 'Equity')
B3185X1	('Data',)
B3197X1	('Stock',)
B3211X1	('Stock', 'Cash', 'Financial Statements')
B3213X1	('Stock', 'Cash', 'Directors', 'Equity', 'Common Stock', 'Financial Statements', 'Restricted Stock')
B3215X1	('Equity',)
B3217X1	('Data',)
B3221X1	('Stock', 'Restricted Stock')
B3229X1	('Stock', 'Equity')
B3230X1	('Income',)
B3231X1	('Income',)
B3237X1	('Income', 'Data')
B3241X1	('Equity',)
B3245X1	('Income',)
B3249X1	('Income', 'Equity')
B3251X1	('Income',)
B3252X1	('Financial Statements',)
B3256X1	('Assests',)
B3257X1	('Assests',)
B3269X1	('Assests',)
B3275X1	('Assests',)
B3277X1	('Assests',)
B3278X1	('Cash', 'Securities')
B3279X1	('Cash', 'Securities', 'Financial Statements')
B3281X1	('Cash', 'Securities')
B3285X1	('Securities',)
B3291X1	('Securities',)
B3313X1	('Cash', 'Securities')
B3317X1	('Securities',)
B3321X1	('Securities',)
B3343X1	('Financial Statements',)
B3345X1	('Securities',)
B3347X1	('Securities',)
B3353X1	('Securities',)
B3363X1	('Cash', 'Securities')
B3369X1	('Assests',)
B3370X1	('Assests', 'Financial Statements')
B3372X1	('Cash', 'Securities', 'Assests')
B3374X1	('Securities',)
B3376X1	('Securities',)
B3378X1	('Securities',)
B3384X1	('Equity', 'Securities', 'Assests')
B3386X1	('Equity', 'Securities')
B3420X1	('Income', 'Equity')
B3421X1	('Financial Statements',)
B3454X1	('Assests',)
B3455X1	('Assests',)
B3461X1	('Assests',)
B3471X1	('Assests',)
B3474X1	('Financial Statements',)
B3484X1	('Revenue',)
B3492X1	('Revenue',)
B3497X1	('Income', 'Tax')
B3499X1	('Income', 'Tax')
B3501X1	('Revenue',)
B3507X1	('Income', 'Tax', 'Revenue')
B3508X1	('Revenue',)
B3509X1	('Revenue',)
B3515X1	('Revenue',)
B3519X1	('Revenue',)
B3521X1	('Revenue', 'Financial Statements')
B3524X1	('Income', 'Cash', 'Assests')
B3530X1	('Cash',)
B3534X1	('Income',)
B3536X1	('Financial Statements',)
B3580X1	('Products', 'Assests')
B3592X1	('Financial Statements',)
B3594X1	('Tax', 'Securities')
B3596X1	('Stock', 'Directors', 'Securities', 'Assests', 'Financial Statements')
B3598X1	('Income', 'Tax')
B3599X1	('Income', 'Tax')
B3605X1	('Income', 'Tax')
B3613X1	('Tax',)
B3621X1	('Income', 'Tax')
B3623X1	('Income', 'Tax')
B3633X1	('Income', 'Tax')
B3635X1	('Income', 'Tax')
B3636X1	('Financial Statements',)
B3638X1	('Income', 'Tax')
B3644X1	('Tax',)
B3646X1	('Income', 'Tax')
B3648X1	('Stock', 'Income', 'Tax')
B3650X1	('Income', 'Tax')
B3652X1	('Tax', 'Assests')
B3656X1	('Tax', 'Assests')
B3658X1	('Assests',)
B3660X1	('Tax', 'Assests')
B3662X1	('Tax',)
B3668X1	('Stock',)
B3670X1	('Tax', 'Assests')
B3672X1	('Tax', 'Assests')
B3674X1	('Tax', 'Assests')
B3676X1	('Tax', 'Assests')
B3678X1	('Tax', 'Assests')
B3679X1	('Income', 'Tax', 'Financial Statements')
B3681X1	('Stock', 'Income', 'Tax', 'Management', 'Assests')
B3682X1	('Tax',)
B3683X1	('Income', 'Tax', 'Revenue', 'Assests', 'Financial Statements')
B3685X1	('Tax',)
B3693X1	('Tax',)
B3695X1	('Tax',)
B3697X1	('Tax',)
B3699X1	('Tax',)
B3700X1	('Income', 'Tax', 'Cash', 'Assests')
B3701X1	('Equity',)
B3702X1	('Stock', 'Directors', 'Common Stock')
B3703X1	('Stock', 'Common Stock')
B3704X1	('Cash', 'Directors', 'Financial Statements')
B3707X1	('Tax',)
B3709X1	('Stock', 'Revenue', 'Data', 'Assests', 'Financial Statements', 'Data Center')
B3713X1	('Income',)
B3717X1	('Revenue',)
B3721X1	('Income',)
B3725X1	('Revenue',)
B3729X1	('Income',)
B3733X1	('Financial Statements',)
B3741X1	('Stock',)
B3743X1	('Revenue',)
B3745X1	('Products', 'Revenue')
B3751X1	('Revenue',)
B3759X1	('Revenue',)
B3761X1	('Revenue',)
B3763X1	('Revenue',)
B3769X1	('Revenue',)
B3771X1	('Data', 'Data Center')
B3779X1	('Revenue',)
B3781X1	('Financial Statements',)
B3783X1	('Assests',)
B3787X1	('Assests',)
B3795X1	('Assests',)
B3797X1	('Financial Statements',)
B3814X1	('Tax',)
B3837X1	('Tax',)
B3861X1	('Tax',)
B3866X1	('Tax', 'Revenue', 'Assests')
B3884X1	('Stock',)
B3898X1	('Securities',)
B3936X1	('Directors',)
B3938X1	('Equity',)
B3939X1	('Stock', 'Equity')
B3941X1	('Stock', 'Equity')
B3946X1	('Stock', 'Equity')
B3948X1	('Stock', 'Equity')
B3950X1	('Stock', 'Equity')
B3952X1	('Stock', 'Equity', 'Restricted Stock')
B3954X1	('Stock', 'Equity', 'Restricted Stock')
B3956X1	('Stock', 'Equity', 'Restricted Stock')
B3958X1	('Stock', 'Equity', 'Restricted Stock')
B3960X1	('Stock', 'Equity', 'Restricted Stock')
B3962X1	('Stock', 'Equity', 'Restricted Stock')
B3964X1	('Stock', 'Equity', 'Restricted Stock')
B3966X1	('Stock', 'Equity', 'Restricted Stock')
B3968X1	('Stock', 'Equity', 'Restricted Stock')
B3970X1	('Stock',)
B3996X1	('Securities',)
B3998X1	('Securities',)
B4000X1	('Securities',)
B4002X1	('Securities',)
B4006X1	('Tax',)
B4008X1	('Tax',)
B4010X1	('Tax',)
B4012X1	('Tax',)
B4014X1	('Tax',)
B4016X1	('Data',)
B4017X1	('Management',)
B4018X1	('Management', 'Securities')
B4022X1	('Securities',)
B4024X1	('Securities',)
B4027X1	('Directors',)
B4028X1	('Management',)
A3X1	('Products', 'Data', 'Data Center')
A9X1	('Tax', 'Cash', 'Revenue', 'Data', 'Accelerated Computing', 'Data Center')
A10X1	('Products', 'Data', 'Accelerated Computing')
A11X1	('Products', 'Data', 'Data Center')
A12X1	('Stock', 'Data', 'Data Center')
A13X1	('Products',)
A14X1	('Products', 'Data', 'Securities', 'Accelerated Computing', 'Data Center')
A15X1	('Stock', 'Directors', 'Equity', 'Common Stock')
A16X1	('Stock', 'Year 2022', 'Year 2023', 'Directors', 'Equity', 'Management', 'Common Stock', 'Securities')
A17X1	('Stock', 'Year 2022', 'Income', 'Cash', 'Revenue', 'Directors', 'Equity', 'Securities', 'Restricted Stock', 'Non-GAAP')
A18X1	('Stock', 'Year 2022', 'Income', 'Products', 'Revenue', 'Data', 'Data Center')
A19X1	('Stock', 'Year 2023', 'Directors', 'Management', 'Common Stock')
A20X1	('Directors',)
A21X1	('Stock', 'Year 2022', 'Directors', 'Management')
A22X1	('Stock', 'Year 2022', 'Year 2023', 'Income', 'Cash', 'Revenue', 'Directors', 'Equity', 'Common Stock', 'Non-GAAP')
A23X1	('Stock', 'Equity', 'Common Stock')
A24X1	('Stock',)
A25X1	('Stock', 'Directors', 'Equity', 'Common Stock')
A26X1	('Stock', 'Year 2023', 'Directors', 'Common Stock')
A27X1	('Stock',)
A28X1	('Stock', 'Directors', 'Management')
A29X1	('Stock', 'Directors', 'Management')
A30X1	('Stock', 'Products', 'Directors', 'Management', 'Financial Statements')
A31X1	('Stock', 'Year 2022', 'Directors')
A32X1	('Stock', 'Directors', 'Management')
A33X1	('Management',)
A34X1	('Products', 'Directors', 'Management', 'Accelerated Computing')
A35X1	('Directors', 'Management')
A36X1	('Stock', 'Directors', 'Data', 'Management')
A37X1	('Directors', 'Management')
A38X1	('Stock', 'Directors', 'Data', 'Management')
A39X1	('Stock', 'Data', 'Management')
A40X1	('Stock', 'Year 2023', 'Revenue', 'Directors', 'Management')
A41X1	('Stock', 'Year 2022', 'Year 2023', 'Cash', 'Directors', 'Equity', 'Management', 'Common Stock')
A42X1	('Stock', 'Directors', 'Management')
A43X1	('Stock', 'Year 2022', 'Directors')
A44X1	('Stock', 'Year 2022', 'Tax', 'Cash', 'Equity', 'Management', 'Financial Statements')
A45X1	('Stock', 'Year 2022', 'Directors')
A46X1	('Year 2022', 'Products', 'Data', 'Management', 'Assests', 'Data Center')
A47X1	('Stock', 'Year 2022', 'Equity', 'Management')
A48X1	('Stock', 'Management')
A49X1	('Stock', 'Year 2022', 'Tax', 'Cash', 'Revenue', 'Directors', 'Equity', 'Common Stock')
A50X1	('Stock', 'Year 2022', 'Cash', 'Directors', 'Financial Statements')
A51X1	('Year 2022', 'Directors', 'Equity')
A52X1	('Stock', 'Directors', 'Management', 'Common Stock', 'Securities')
A53X1	('Stock', 'Directors', 'Common Stock')
A54X1	('Stock', 'Year 2022', 'Management')
A55X1	('Stock', 'Year 2022', 'Income', 'Cash', 'Products', 'Revenue', 'Data', 'Equity', 'Data Center', 'Non-GAAP')
A56X1	('Stock', 'Year 2022', 'Income', 'Cash', 'Revenue', 'Equity', 'Non-GAAP')
A57X1	('Stock', 'Year 2022', 'Tax', 'Cash', 'Revenue', 'Directors', 'Data', 'Equity', 'Management')
A58X1	('Year 2022', 'Revenue', 'Data', 'Management')
A59X1	('Stock', 'Data', 'Equity', 'Financial Statements')
A60X1	('Stock', 'Year 2022', 'Income', 'Cash', 'Revenue', 'Equity', 'Common Stock', 'Non-GAAP')
A61X1	('Stock', 'Year 2022', 'Year 2023', 'Income', 'Cash', 'Revenue', 'Equity', 'Management', 'Common Stock', 'Non-GAAP')
A62X1	('Stock', 'Year 2022', 'Income', 'Equity', 'Common Stock', 'Non-GAAP')
A63X1	('Stock', 'Year 2022', 'Income', 'Cash', 'Revenue', 'Management', 'Non-GAAP')
A64X1	('Year 2022', 'Cash', 'Revenue', 'Equity', 'Management')
A65X1	('Stock', 'Year 2022', 'Cash', 'Revenue', 'Equity', 'Common Stock')
A66X1	('Stock', 'Year 2022', 'Tax', 'Cash', 'Revenue', 'Directors', 'Equity', 'Management', 'Common Stock', 'Securities', 'Financial Statements')
A67X1	('Stock', 'Cash', 'Equity', 'Common Stock')
A68X1	('Stock', 'Year 2022', 'Income', 'Cash', 'Equity', 'Financial Statements')
A69X1	('Stock', 'Year 2022', 'Cash', 'Equity', 'Financial Statements')
A70X1	('Stock', 'Equity', 'Securities')
A71X1	('Stock', 'Year 2022', 'Common Stock')
A72X1	('Stock', 'Year 2022', 'Tax', 'Common Stock')
A73X1	('Stock', 'Year 2022', 'Common Stock')
A74X1	('Stock', 'Year 2022', 'Cash', 'Directors', 'Equity', 'Management')
A75X1	('Stock', 'Year 2023', 'Financial Statements')
A76X1	('Year 2022', 'Tax', 'Products', 'Financial Statements')
A77X1	('Year 2022', 'Directors', 'Management', 'Securities', 'Financial Statements')
A78X1	('Stock', 'Common Stock')
A79X1	('Stock', 'Directors', 'Equity', 'Common Stock')
A80X1	('Stock', 'Directors', 'Equity', 'Common Stock')
A81X1	('Stock', 'Year 2022', 'Directors', 'Equity', 'Common Stock')
A82X1	('Stock', 'Tax', 'Cash', 'Directors', 'Common Stock', 'Restricted Stock')
A83X1	('Stock', 'Tax', 'Cash', 'Common Stock', 'Securities')
A84X1	('Stock', 'Cash', 'Common Stock', 'Restricted Stock')
A85X1	('Stock', 'Income', 'Tax', 'Cash', 'Revenue', 'Equity', 'Assests')
A86X1	('Stock', 'Tax', 'Cash', 'Common Stock', 'Securities', 'Assests')
A87X1	('Stock', 'Income', 'Tax', 'Revenue', 'Common Stock', 'Securities', 'Assests')
A88X1	('Stock', 'Income', 'Tax', 'Revenue', 'Common Stock', 'Restricted Stock')
A89X1	('Stock', 'Income', 'Tax', 'Cash', 'Revenue', 'Common Stock', 'Restricted Stock')
A90X1	('Stock', 'Directors', 'Common Stock')
A91X1	('Stock', 'Directors', 'Common Stock')
A92X1	('Stock', 'Year 2022', 'Revenue', 'Directors', 'Equity', 'Common Stock', 'Securities')
A93X1	('Stock', 'Year 2022', 'Directors', 'Equity', 'Common Stock', 'Securities')
A94X1	('Stock', 'Directors', 'Common Stock')
A96X1	('Stock', 'Tax', 'Cash', 'Directors', 'Equity', 'Common Stock', 'Restricted Stock')
A97X1	('Stock', 'Cash', 'Common Stock')
A99X1	('Stock', 'Tax', 'Cash', 'Common Stock')
A100X1	('Stock', 'Cash', 'Directors', 'Common Stock', 'Securities')
A103X1	('Stock', 'Cash', 'Common Stock', 'Restricted Stock')
A104X1	('Stock', 'Cash', 'Common Stock', 'Securities')
A105X1	('Stock', 'Tax', 'Cash', 'Common Stock', 'Securities')
A106X1	('Stock', 'Income', 'Tax', 'Cash', 'Common Stock', 'Securities')
A107X1	('Stock', 'Cash', 'Common Stock', 'Securities')
A108X1	('Stock', 'Common Stock')
A109X1	('Stock', 'Cash', 'Directors', 'Equity', 'Common Stock', 'Securities')
